,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
178,31.0,0.7,8.0,0.4,2.369560838,3.1302452
179,40.0,0.7,8.0,0.4,2.244503122,3.1270275
180,4.0,0.2,14.0,0.4,3.982840376,3.6024513
181,13.0,0.2,14.0,0.4,4.804005082,4.5119247
182,22.0,0.2,14.0,0.4,4.806543686,4.5346837
183,31.0,0.2,14.0,0.4,4.797555516,4.456406
184,40.0,0.2,14.0,0.4,4.787066444,4.336459
185,4.0,0.3,14.0,0.4,4.054772566,3.713458
186,13.0,0.3,14.0,0.4,5.40649808,5.241364
187,22.0,0.3,14.0,0.4,5.412913313,5.307063
188,31.0,0.3,14.0,0.4,5.400503346,5.239042
189,40.0,0.3,14.0,0.4,5.386801345,5.1180415
190,4.0,0.4,14.0,0.4,3.756279497,3.5205665
191,13.0,0.4,14.0,0.4,5.73302606,5.593263
192,22.0,0.4,14.0,0.4,5.737768258,5.6826572
193,31.0,0.4,14.0,0.4,5.71747122,5.6154966
194,40.0,0.4,14.0,0.4,5.695500698,5.4938674
195,4.0,0.5,14.0,0.4,3.151348393,3.2544928
196,13.0,0.5,14.0,0.4,5.565034711,5.488131
197,22.0,0.5,14.0,0.4,5.562820828,5.5799146
198,31.0,0.5,14.0,0.4,5.530530777,5.4889474
199,40.0,0.5,14.0,0.4,5.496125491,5.347729
200,4.0,0.6,14.0,0.4,2.777142388,3.141574
201,13.0,0.6,14.0,0.4,5.352117119,5.067399
202,22.0,0.6,14.0,0.4,5.33745782,5.178222
203,31.0,0.6,14.0,0.4,5.287119062,5.054215
204,40.0,0.6,14.0,0.4,5.234749487,4.8864117
205,4.0,0.7,14.0,0.4,2.366509852,3.1256928
206,13.0,0.7,14.0,0.4,4.661677365,4.3914022
207,22.0,0.7,14.0,0.4,4.623634206,4.5689106
208,31.0,0.7,14.0,0.4,4.552780201,4.431112
209,40.0,0.7,14.0,0.4,4.479234638,4.260087
210,4.0,0.2,20.0,0.4,5.097827684,4.9054494
211,13.0,0.2,20.0,0.4,6.434094494,6.234033
212,22.0,0.2,20.0,0.4,6.508280009,6.2215633
213,31.0,0.2,20.0,0.4,6.505845848,6.132433
214,40.0,0.2,20.0,0.4,6.500079734,6.052725
215,4.0,0.3,20.0,0.4,5.119103787,4.875847
216,13.0,0.3,20.0,0.4,7.408018059,7.207982
217,22.0,0.3,20.0,0.4,7.530546304,7.325724
218,31.0,0.3,20.0,0.4,7.527240606,7.2874846
219,40.0,0.3,20.0,0.4,7.520303244,7.243732
220,4.0,0.4,20.0,0.4,4.51369957,4.460777
221,13.0,0.4,20.0,0.4,7.889739063,7.7595334
222,22.0,0.4,20.0,0.4,8.050480064,7.960982
223,31.0,0.4,20.0,0.4,8.042560011,7.9675264
224,40.0,0.4,20.0,0.4,8.030094451,7.970622
225,4.0,0.5,20.0,0.4,3.861347033,3.8637671
226,13.0,0.5,20.0,0.4,7.956151779,7.731573
227,22.0,0.5,20.0,0.4,8.143120907,7.9708457
228,31.0,0.5,20.0,0.4,8.126230879,7.981251
229,40.0,0.5,20.0,0.4,8.104083879,7.9915676
230,4.0,0.6,20.0,0.4,3.499813843,3.3999724
231,13.0,0.6,20.0,0.4,7.806637944,7.4195585
232,22.0,0.6,20.0,0.4,7.999685135,7.696366
233,31.0,0.6,20.0,0.4,7.969005773,7.6829996
234,40.0,0.6,20.0,0.4,7.93200007,7.6705246
235,4.0,0.7,20.0,0.4,3.225020058,3.1845632
236,13.0,0.7,20.0,0.4,7.188845472,6.895142
237,22.0,0.7,20.0,0.4,7.361286819,7.2558904
238,31.0,0.7,20.0,0.4,7.314976126,7.2009034
239,40.0,0.7,20.0,0.4,7.258751624,7.146203
240,4.0,0.2,26.0,0.4,6.294313515,5.934832
241,13.0,0.2,26.0,0.4,8.141927215,7.806586
242,22.0,0.2,26.0,0.4,8.377400774,7.850188
243,31.0,0.2,26.0,0.4,8.379010216,7.74603
244,40.0,0.2,26.0,0.4,8.378608823,7.662735
245,4.0,0.3,26.0,0.4,6.020849725,5.8140426
246,13.0,0.3,26.0,0.4,9.234981942,9.044825
247,22.0,0.3,26.0,0.4,9.61518084,9.310951
248,31.0,0.3,26.0,0.4,9.617759208,9.264518
249,40.0,0.3,26.0,0.4,9.617427317,9.214633
250,4.0,0.4,26.0,0.4,5.127336086,5.2192206
251,13.0,0.4,26.0,0.4,9.799717696,9.79272
252,22.0,0.4,26.0,0.4,10.31089447,10.218092
253,31.0,0.4,26.0,0.4,10.31133644,10.242934
254,40.0,0.4,26.0,0.4,10.30839441,10.26332
255,4.0,0.5,26.0,0.4,4.517460837,4.481239
256,13.0,0.5,26.0,0.4,10.09868604,9.793773
257,22.0,0.5,26.0,0.4,10.71256217,10.310073
258,31.0,0.5,26.0,0.4,10.70604097,10.359073
259,40.0,0.5,26.0,0.4,10.69543714,10.407117
260,4.0,0.6,26.0,0.4,4.184123048,3.8865743
261,13.0,0.6,26.0,0.4,9.892509862,9.474629
262,22.0,0.6,26.0,0.4,10.54915001,10.079375
263,31.0,0.6,26.0,0.4,10.53472546,10.121257
264,40.0,0.6,26.0,0.4,10.51238019,10.164946
265,4.0,0.7,26.0,0.4,3.936292928,3.4811292
266,13.0,0.7,26.0,0.4,9.110182469,8.996213
267,22.0,0.7,26.0,0.4,9.760502975,9.744479
268,31.0,0.7,26.0,0.4,9.735259051,9.763362
269,40.0,0.7,26.0,0.4,9.696672204,9.786928
270,4.0,0.2,32.0,0.4,7.309435456,6.814502
271,13.0,0.2,32.0,0.4,9.60781755,9.560299
272,22.0,0.2,32.0,0.4,10.08293244,9.809409
273,31.0,0.2,32.0,0.4,10.09173226,9.719325
274,40.0,0.2,32.0,0.4,10.09536403,9.632512
275,4.0,0.3,32.0,0.4,6.893711174,6.7750363
276,13.0,0.3,32.0,0.4,11.00743467,11.059057
277,22.0,0.3,32.0,0.4,11.77670353,11.684968
278,31.0,0.3,32.0,0.4,11.7898653,11.660227
279,40.0,0.3,32.0,0.4,11.79612359,11.60095
280,4.0,0.4,32.0,0.4,5.851692351,6.0113583
281,13.0,0.4,32.0,0.4,11.75404429,12.022885
282,22.0,0.4,32.0,0.4,12.8078754,12.922992
283,31.0,0.4,32.0,0.4,12.82244334,12.995798
284,40.0,0.4,32.0,0.4,12.8505021,13.026493
285,4.0,0.5,32.0,0.4,5.106242745,5.122507
286,13.0,0.5,32.0,0.4,11.87085019,12.046121
287,22.0,0.5,32.0,0.4,13.11873465,13.114111
288,31.0,0.5,32.0,0.4,13.13101636,13.227447
289,40.0,0.5,32.0,0.4,13.14217554,13.300081
290,4.0,0.6,32.0,0.4,4.842350842,4.4645963
291,13.0,0.6,32.0,0.4,11.60495147,11.656862
292,22.0,0.6,32.0,0.4,12.96443261,12.893058
293,31.0,0.6,32.0,0.4,12.97495098,13.008917
294,40.0,0.6,32.0,0.4,12.96573896,13.085369
295,4.0,0.7,32.0,0.4,4.778844141,3.9977174
296,13.0,0.7,32.0,0.4,10.91909072,11.076731
297,22.0,0.7,32.0,0.4,12.36023085,12.564038
298,31.0,0.7,32.0,0.4,12.35683204,12.667747
299,40.0,0.7,32.0,0.4,12.33271351,12.733351
300,4.0,0.2,8.0,0.6,4.36752822,3.9401984
301,13.0,0.2,8.0,0.6,4.842457587,4.403567
302,22.0,0.2,8.0,0.6,4.780391058,4.3654275
303,31.0,0.2,8.0,0.6,4.716589681,4.2772517
304,40.0,0.2,8.0,0.6,4.652901533,4.1728287
305,4.0,0.3,8.0,0.6,4.108346464,4.03892
306,13.0,0.3,8.0,0.6,4.802741247,4.900125
307,22.0,0.3,8.0,0.6,4.733551032,4.85278
308,31.0,0.3,8.0,0.6,4.663302619,4.724901
309,40.0,0.3,8.0,0.6,4.592705297,4.562314
310,4.0,0.4,8.0,0.6,4.005126342,3.887115
311,13.0,0.4,8.0,0.6,4.950046676,5.113656
312,22.0,0.4,8.0,0.6,4.85402955,5.031075
313,31.0,0.4,8.0,0.6,4.792214408,4.8573294
314,40.0,0.4,8.0,0.6,4.696041035,4.6460967
315,4.0,0.5,8.0,0.6,3.748820507,3.5227633
316,13.0,0.5,8.0,0.6,4.876053813,4.921915
317,22.0,0.5,8.0,0.6,4.769743546,4.8029237
318,31.0,0.5,8.0,0.6,4.659997098,4.596916
319,40.0,0.5,8.0,0.6,4.550265274,4.3671927
320,4.0,0.6,8.0,0.6,3.210029224,3.2385135
321,13.0,0.6,8.0,0.6,4.459934892,4.511789
322,22.0,0.6,8.0,0.6,4.317602359,4.392558
323,31.0,0.6,8.0,0.6,4.176956983,4.190966
324,40.0,0.6,8.0,0.6,4.072289377,3.9848323
325,4.0,0.7,8.0,0.6,3.189577668,3.1413817
326,13.0,0.7,8.0,0.6,4.467007277,4.0632215
327,22.0,0.7,8.0,0.6,4.262038963,3.9942918
328,31.0,0.7,8.0,0.6,4.036988196,3.830237
329,40.0,0.7,8.0,0.6,3.828481887,3.6730018
330,4.0,0.2,14.0,0.6,5.678239236,5.8372645
331,13.0,0.2,14.0,0.6,6.927138909,6.718843
332,22.0,0.2,14.0,0.6,6.916920945,6.6351576
333,31.0,0.2,14.0,0.6,6.876752837,6.506287
334,40.0,0.2,14.0,0.6,6.857417453,6.39531
335,4.0,0.3,14.0,0.6,6.061212972,6.2054143
336,13.0,0.3,14.0,0.6,8.100696643,8.082021
337,22.0,0.3,14.0,0.6,8.099015592,8.076203
338,31.0,0.3,14.0,0.6,8.067542679,7.965419
339,40.0,0.3,14.0,0.6,8.034051462,7.854687
340,4.0,0.4,14.0,0.6,5.823710146,6.0684686
341,13.0,0.4,14.0,0.6,8.653132874,8.877898
342,22.0,0.4,14.0,0.6,8.652521728,8.925447
343,31.0,0.4,14.0,0.6,8.612617294,8.841604
344,40.0,0.4,14.0,0.6,8.570099442,8.754927
345,4.0,0.5,14.0,0.6,5.187641842,5.385677
346,13.0,0.5,14.0,0.6,8.701312898,8.926212
347,22.0,0.5,14.0,0.6,8.690435523,8.974394
348,31.0,0.5,14.0,0.6,8.633700545,8.869863
349,40.0,0.5,14.0,0.6,8.573949842,8.76207
350,4.0,0.6,14.0,0.6,4.503541603,4.5376463
351,13.0,0.6,14.0,0.6,8.349989218,8.545222
352,22.0,0.6,14.0,0.6,8.316853127,8.570653
353,31.0,0.6,14.0,0.6,8.233755951,8.409596
354,40.0,0.6,14.0,0.6,8.147444866,8.246891
355,4.0,0.7,14.0,0.6,3.756091491,3.8065963
356,13.0,0.7,14.0,0.6,7.382140775,7.834828
357,22.0,0.7,14.0,0.6,7.313258432,7.8573494
358,31.0,0.7,14.0,0.6,7.195799768,7.6325345
359,40.0,0.7,14.0,0.6,7.075952865,7.41612
360,4.0,0.2,20.0,0.6,7.598274232,7.6607985
361,13.0,0.2,20.0,0.6,9.674363066,9.260172
362,22.0,0.2,20.0,0.6,9.783940745,9.213556
363,31.0,0.2,20.0,0.6,9.77163478,9.050095
364,40.0,0.2,20.0,0.6,6.726933997,8.917528
365,4.0,0.3,20.0,0.6,7.847714685,8.046139
366,13.0,0.3,20.0,0.6,11.25578077,11.217172
367,22.0,0.3,20.0,0.6,11.44522604,11.327676
368,31.0,0.3,20.0,0.6,11.43708235,11.204854
369,40.0,0.3,20.0,0.6,11.42356331,11.089959
370,4.0,0.4,20.0,0.6,7.403291166,7.7695723
371,13.0,0.4,20.0,0.6,12.25211526,12.374918
372,22.0,0.4,20.0,0.6,12.50693642,12.627355
373,31.0,0.4,20.0,0.6,12.49614755,12.586397
374,40.0,0.4,20.0,0.6,12.47799685,12.551468
375,4.0,0.5,20.0,0.6,6.603308898,6.936273
376,13.0,0.5,20.0,0.6,12.68412867,12.545385
377,22.0,0.5,20.0,0.6,12.97997297,12.876738
378,31.0,0.5,20.0,0.6,12.95769332,12.861987
379,40.0,0.5,20.0,0.6,12.92679611,12.855237
